"ID";"Öncelik";"Kanıt sınıfı";"Başlık";"Kaynak referansları";"Yapılacak iş";"Kabul koşulu";"Durum";"Sorumlu";"Hedef tarih"
"F11";"P1";"D.";"İlk girişte şifre değişimi API'de zorunlu değil";"server/middleware/auth.js:64 | public/js/app.js:107";"Zorunlu şifre değişimi oturumunda yalnızca `/auth/me`, `/auth/change-password`, `/auth/logout` gibi açık izin listesine erişilsin. Masaüstü ve mobil kullanıcı akışı aynı hata kodunu işlesin.";"Şifre sıfırlama sonrası bütün iş uçları 403 + anlaşılır kod; başarılı değişimden sonra normal erişim; diğer oturumlar iptal.";"Açık";"";""
"F12";"P1";"D.";"İade faturası müşteri borcunu artırıyor";"server/routes/sales.js:44 | server/services/sales-orders.js:30";"Bakiye hesaplamasını tek servise al; belge türü ve hareket yönünü açık sakla. Orijinal faturaya göre iade edilebilir miktar/tutar sınırı, çoklu iade ve ödenmiş fatura iadesi tanımlansın. Stok iadesi mali iadeden ayrı ama ilişkili izlensin.";"100−40=60; toplam iade asıl tutarı aşamaz; farklı müşteri/farklı para birimi ilişkileri açık kurallarla yönetilir.";"Açık";"";""
"F13";"P1";"D.";"Onay kuralındaki gerekli rol uygulanmıyor";"server/routes/purchasing.js:317";"Ortak onay politika servisi; belge tutarı, gereken rol, kişisel limit, hazırlayan/onaylayan ayrımı ve kural sürümü birlikte değerlendirilsin. Limit 0'ın “limitsiz” mi “yetkisiz” mi olduğu açıkça belgelenmeli.";"Admin gerektiren sipariş müdüre 403; eşik altı/üstü ve kişisel limit sınırlarında tablo bazlı test; onay sonrası tutar değişiyorsa tekrar onay.";"Açık";"";""
"F14";"P1";"D.";"Başarısız kullanıcı güncellemesi kısmen uygulanıyor";"server/routes/admin.js:63";"Bütün gövdeyi önce doğrula, yetki/son admin kurallarını kontrol et, sonra kullanıcı/oturum/audit yazmalarını tek transaction'da uygula. Negatif onay limiti ve yanlış veri tiplerini reddet.";"İsteğin herhangi bir alanı geçersizse rol, parola, aktiflik, oturumlar ve audit değişmemeli. Geçerli birleşik işlem tümüyle uygulanmalı.";"Açık";"";""
"F15";"P1";"D.";"Eksik tarihsel kur yerine bugünkü kur veya 1 kullanılıyor";"server/lib/core.js:69";"Belge tarihine uygun kur yoksa mali belgeyi anlamlı hata ile durdur. Özel kur gerekiyorsa yetkili, gerekçeli ve belge üstünde sabitlenen giriş yolu sun. Gelecek kuru geçmişe taşıma.";"Eksik kurla mali kayıt yok; geçerli tarihsel kur aynen sabitlenir; geçmiş kur düzenlemesi kayıtlı belgeleri kendiliğinden değiştirmez.";"Açık";"";""
"F16";"P1";"D.";"Bölünmüş lotların ileri izlenebilirliği kopuyor";"server/services/stock.js:154 | server/services/traceability.js:52";"Lot kökenini `root_lot_id`/`parent_lot_id` veya ayrı lot dönüşüm tablosuyla taşı. Kısmi durum değişimi ve transfer aynı iz zincirine dahil olsun. Aynı lot numarasını otomatik birleştirmek tek başına güvenilir çözüm değildir.";"Kaynak lot → bölme → transfer → üretim → sevkiyat zincirinin tüm müşteri ve kalan miktarları geri çağırma raporunda eksiksiz bulunmalı.";"Açık";"";""
"F17";"P1";"D.";"Sayım kaydedildikten sonra arayüzde düzenlenebilir, API'de kapalı";"server/routes/stock.js:241 | frontend-react/CountsView.jsx:75";"Taslak kaydetme, sayımı tamamlama ve onay işlemlerini net ayır. `counted` düzenlemesi izinliyse sunucu da kabul etsin; değilse arayüz salt okunur olsun ve onay öncesi tekrar yazmasın. Eksik satırla onay politikası da açık olsun.";"Aç → kısmi kaydet → devam et → tamamla → başka kullanıcı onayla akışı hem masaüstü hem mobilde çalışmalı.";"Açık";"";""
"F18";"P1";"D — yatay etkili.";"Kısmi güncellemede oluşturma varsayılanları veri siliyor";"server/routes/items.js:125–165";"Create ve update şemalarını defaultsuz ortak alan tanımlarından ayrı üret. Gönderilmedi, null, boş liste ve sıfır durumlarını bilinçli ayır. Kod tabanındaki tüm `.partial()` kullanımlarını denetle; formun bütün alanları göndermesi API kusurunu gidermez.";"Tek alanlık PUT/PATCH diğer bütün alanları bit düzeyinde korumalı; açık `bom:[]` reçeteyi temizleyebilmeli; varsayılanlı sayısal/enum/list alanlarının hepsi test edilmeli. Ürün, müşteri, tedarikçi, fırsat, iş merkezi ve destek için ayrı regresyon.";"Açık";"";""
"F19";"P1";"D.";"Kapasite planı gerçek saat çakışmalarını engellemiyor";"server/services/capacity.js:116–151";"Gerçek vardiya aralıkları, molalar, kapasite istasyonları ve operasyon çakışmalarıyla slot üret. Çok güne dağılan kapasiteyi segmentlerle sakla. Yeniden planlamada işin kendi eski rezervasyonunu hariç tut.";"İki iş 08:00–09:00 ve 09:00–10:00 gibi çakışmasız yerleşir; gece vardiyası, mola, tatil, iki paralel istasyon ve 2 günlük operasyon doğru yük üretir.";"Açık";"";""
"F20";"P1";"D.";"Satın alma kuru belgeye kilitlense de mal kabulde yeniden hesaplanıyor";"server/routes/purchasing.js:395";"Sipariş satırında kur ve baz birim fiyatı sabitle; kabul, rapor, 3'lü eşleştirme ve pivot aynı sabit değerleri kullansın. Fatura kur farkını ayrı işlem olarak modelle.";"Kur tablosu sonradan değişse bile sipariş/lot baz değeri sabit; farklı dövizli satırlar doğru normalize edilir.";"Açık";"";""
"F21";"P1/P2";"D+K.";"“Anonimleştirme” kopya kimlik bilgilerini bırakıyor";"server/lib/kvkk.js:14–60";"Kişisel veri haritası ve saklama gerekçesi alan bazında çıkarılsın. Zorunlu saklanan ticari kayıtlar ile anonimleştirilmesi kararlaştırılan kopyalar ayrı politika taşısın. Audit'e eski kişisel veriyi tekrar yazma; yedekten dönüş sonrası silme politikası uygulansın.";"Silinmesi seçilen kimlik alanları tüm ilişkili kaynaklarda aranarak yokluğu doğrulanmalı; saklananlar gerekçesi ve yetkisiyle açıkça belgelenmeli.";"Açık";"";""
"F22";"P1";"D.";"Muhasebe aktarımı iade faturasını normal satış gibi yazıyor";"server/services/accounting-export.js:68–90";"Satış, iade ve desteklenen diğer kayıt türleri için işaret/hesap eşleme politikası; aktarılmış belge kimliği ve sürüm takibi. Muhasebe programıyla dosya/API aktarım kabul testi yap. Bu işlev genel veri köprüsüdür; resmî e-Fatura modülü geri eklenmemelidir.";"Aynı faturanın tam iadesi net bakiyeyi sıfırlar; kısmi iade doğru ters yönlü satırları üretir; ikinci aktarımın çift kayıt yaratması önlenir veya açıkça yönetilir.";"Açık";"";""
"F23";"P1";"D.";"Bir satırdaki fazla teslim diğer satırdaki eksiği kapatıyor";"server/routes/purchasing.js:539";"Tamamlanma her satırın kalan miktarı üzerinden değerlendirilsin; `EXISTS` ile eksik satır kontrolü veya pozitif kalanların toplamı kullanılsın. Fazla teslim toleransı ayrı izlensin.";"20/10 ve 0/10 siparişi `partially_received`; ikinci satır tamamlandıktan sonra `received`. Aynı mantık görev listesi ve MRP'ye yansısın.";"Açık";"";""
"F24";"P1";"D.";"Aynı sevk miktarı tekrar faturalanabiliyor";"server/routes/sales.js:320–386";"Fatura satırı → sevkiyat/sipariş satırı tahsisi ve faturalanmış miktar alanı/defteri; idempotency; müşteri, döviz ve sevkiyat ilişkisi kontrolü. Tamamlanma durumunu ilk kısmi faturayla gereksiz kapatma.";"Aynı sevk ikinci kez faturalanmaz; kısmi sevk → kısmi fatura → kalan sevk → kalan fatura akışı doğru; iade miktarı ilk bağlantıya kadar izlenebilir.";"Açık";"";""
"F25";"P1/P2";"D+K.";"Excel metin sayısında sessiz 1.000 kat büyüme riski";"server/services/import.js:202–220";"İçe aktarımda sayı yereli seçimi veya belirsiz hücre için bloklayan önizleme uyarısı. Kullanıcı orijinal değer, ayrıştırılmış değer, birim ve toplamı görmeli.";"Türkçe ve İngilizce yerellerde `1,234`, `1.234`, `1.234,56`, `1,234.56`, eksi ve bilimsel gösterim açık politikaya göre; belirsizlik sessiz tahmin edilmemeli.";"Açık";"";""
"S01";"P0";"S.";"Docker bağlamı özel lisans imzalama anahtarını içerebilir";"";"İmajda yalnız gerekli kaynakları açık listeyle kopyala; özel anahtar/ortam dosyası/yerel veri/rapor klasörünü hariç tut. Yayınlanmış imaj varsa dosya envanterini incele; gerçekten anahtar bulunursa anahtar değişimi ve lisans geçişini planla.";"final image ve build context secret scan; private key hiçbir katmanda yok.";"Açık";"";""
"S02";"P0";"S.";"Testler gerçek proje verisini silebilir";"test/run-all.js:22–45 | test/e2e-browser/reset-and-start.js:12 | README.md:58";"Her koşuya OS geçici dizini, explicit `DATA_DIR/DB_PATH`, test sunucusu portu, sahiplik işareti ve silme öncesi sınır doğrulaması. Test komutu normal/üretim verisine işaret ederse durmalı.";"Gerçek `data` içine sentinel bırakıp bütün test koşusundan sonra aynı hash ile korunduğunu doğrula.";"Açık";"";""
"S03";"P1";"S.";"Mobil kuyruk başarısız ve arada eklenen işlemleri kaybedebilir";"public/js/mobile.js:109–139 | public/js/mobile-db.js:52";"Kayıt bazlı ack silme, başarısız kayıtları neden/payload ile tutma, 200 veya daha küçük batch, tek gönderici kilidi, kalıcı retry durumu. Kuyruğu kullanıcıya bağla; hesap değişiminde başka kullanıcının işlemleri yürütülmesin.";"Gönderim sırasında yeni kayıt, kısmi hata, 201 kayıt, bağlantı kopması, hesap değişimi ve aynı anda iki flush.";"Açık";"";""
"S04";"P1";"S.";"Yedek yalnızca SQLite; doküman dosyaları dahil değil";"server/scripts/backup.js:52 | server/routes/documents.js:20";"DB + uploads + sürüm/config manifesti + checksum; sırların ayrı güvenli kurtarılması; şifreli saha dışı kopya.";"Boş makineye dönüşte seçilmiş belge ve logolar dahil hash doğrulaması; işletmenin belirlediği RPO/RTO ölçülsün.";"Açık";"";""
"S05";"P1";"S.";"Restore çalışan sunucuyu kesin engellemiyor";"server/scripts/restore.js:104–151";"Servis durdurma ve doğrulanmış tek sahipli bakım kilidi; bütün veritabanı bileşenlerini tutarlı koruma; başarısızlık enjeksiyonlu rollback.";"Açık sunucuda restore başlamaz; kopya hatasında DB ve bekleyen WAL verisi korunur.";"Açık";"";""
"S06";"P1";"S.";"Sunucu başlangıcı güvenli upgrade yolunu atlayarak migration yapıyor";"server/index.js:39 | server/scripts/upgrade.js";"Üretimde migration politikası açık olsun: bakım/upgrade komutu, önce doğrulanmış yedek, sonra şema geçişi; açılışta bekleyen migration varsa kontrollü duruş.";"Eski sürüm fixture'larından yükseltme, kesinti ve geri dönüş; veri kaybı yaratan migration öncesinde arşiv kararı.";"Açık";"";""
"S07";"P1/P2";"S.";"Webhook teslimatında çökme aralığında olay kaybolabilir";"server/lib/webhooks.js:61–142";"İş kaydıyla aynı transaction'da outbox; kararlı event ID; lease/claim, bounded concurrency ve retry/dead-letter.";"Commit sonrası/HTTP öncesi/HTTP sonrası restart; olay kaybolmaz, tüketici event ID ile yineleneni ayıklar.";"Açık";"";""
"S08";"P2";"S+K.";"Webhook hedefi için ağ çıkışı politikası yok";"server/routes/webhooks.js:47 | server/lib/webhooks.js:74";"HTTP(S) şema listesi, izinli entegrasyon hedefleri, DNS/redirect doğrulaması ve ağ egress kuralı; dış internet ve yerel ağ politikasını ayrı tanımla.";"İzin verilmeyen loopback/link-local/hedef ve yönlendirme reddi; izinli yerel entegrasyon çalışır.";"Açık";"";""
"S09";"P2";"S.";"Mobil çıkış sunucudaki oturumu iptal etmiyor";"public/js/mobile.js:850 | server/routes/auth.js:63";"Çevrimiçi çıkışta revocation; çevrimdışı çıkışta yerel durum ve kuyruk sahipliğini güvenli yönet. Oturum yönetimini ortaklaştır; HttpOnly cookie tasarımı seçilirse CSRF ve mobil davranışını birlikte çöz.";"Çıkış sonrası eski token 401; kullanıcı değişimi kuyruğu devretmez.";"Açık";"";""
"S10";"P2";"S.";"Kalite “imza” alanı içerik bütünlüğünü ispatlamıyor";"server/routes/quality.js:153";"Özellik adı “kullanıcı onayı” olarak netleştirilsin veya yeniden kimlik doğrulama + kanonik içerik hash'i + doğrulama yolu + değişmez kayıt tasarlansın.";"Onaylanan ölçüm sonradan değişirse tespit; yanlış onay parolası reddi; hukuki nitelik ayrıca karara bağlansın.";"Açık";"";""
"S11";"P1/P2";"S.";"MRP zaman dilimli tedarik uygunluğunu yeterince hesaplamıyor";"server/services/mrp.js:98–143";"Tarih kovaları, gecikmiş arz uyarısı, safety-stock bağımsız tetikleme, emre sabitlenmiş BOM ve baştan döngü engeli.";"Yarın gereken malzeme gelecek ayki PO ile karşılanmış sayılmaz; talep yok/alt safety stock öneri verir; BOM değişimi açık emrin ihtiyacını değiştirmez.";"Açık";"";""
"S12";"P1/P2";"S+K.";"Ortalama maliyet seçimi ile rapor/çıkış maliyeti politikası tutarlı değil";"server/services/stock.js:49 | server/services/costing.js:51 | server/routes/reports.js:16";"Fiziksel lot seçimi, finansal değerleme ve kart gösterimini ayrı tanımla; tek otoriter hesaplama servisi.";"Farklı maliyetli iki giriş → çıkış → kalite serbest bırakma → masraf dağıtımı zincirinde hareket/COGS/değerleme mutabakatı.";"Açık";"";""
"S13";"P1/P2";"S.";"Alış faturası ve vergi aktarımı belge snapshot'ına dayanmıyor";"server/routes/purchasing.js:615–645 | server/services/accounting-export.js:40";"Alış fatura satırları, net/vergi/brüt ayrımı, irsaliye satırı tahsisi, kilitli kur/vergi oranı ve daha önce faturalanmış miktar.";"İki kısmi teslimin ayrı faturaları; karışık döviz/vergi; ürün kartı değişince geçmiş dışa aktarım değişmez.";"Açık";"";""
"S14";"P1";"S.";"Veri birleştirme ilişki listesi eksik; reçete toplamı korunmuyor";"server/routes/data-health.js:48–173";"Tüm FK ve mantıksal referansları şemadan çıkar; birleşme uyumluluğu (birim, ürün tipi, reçete, vergi, döviz) önizlemesi; miktar ve tarihsel snapshot politikası.";"Bağlı destek/ziyaret/fatura/lot/üretim olan kayıtlarda kontrollü birleşme; hiçbir referans kaybolmaz, BOM ihtiyacı korunur.";"Açık";"";""
"S15";"P1/P2";"S.";"Import/revert satır içi kısmi değişiklik bırakabilir";"server/services/import-commit.js:222–245";"Her çok yazmalı satır için nested transaction/savepoint; batch politikası “tümü veya hiçbiri” mi “satır bazlı” mı açık tanımlansın. Update geri alma için eski snapshot saklanmadığı mevcut sınırlaması kullanıcıya açık gösterilsin.";"İkinci SQL'de zorlanmış hata ilk SQL'i de geri alır; rapor sayıları gerçek yazmalarla aynı.";"Açık";"";""
"S16";"P2";"S.";"Girdi doğrulaması ve veritabanı değişmezleri eşit uygulanmıyor";"server/middleware/validate.js:39 | server/routes/admin.js:199 | server/migrations/001_initial_schema.js:166";"Date-only, saat, para, miktar, ID ve boolean ortak sözleşmeleri; gerçek takvim doğrulaması; sayfalama tamsayı/sınır kontrolü; alan uzunluğu/array limiti. Negatif değer anlamlı olan hareket farkını yanlışlıkla engellemeden tablo bazlı CHECK tasarla.";"Hatalı girdiler 4xx; 500 veya sessiz normalleşme yok.";"Açık";"";""
"S17";"P2";"S.";"Ön yüz React geçişi ve tip denetimi tamamlanmış sayılmamalı";"frontend-react/DashboardView.jsx:1–18 | ReportsView.jsx:29 | AdminView.jsx | tsconfig.json:10";"Önce miktar/finans/onay formlarını gerçek JSX ve kontrollü bileşenlere geçir; ortak tablo/modal/form sözleşmesi; request cancellation/sequence; hata-yükleme-boş durumları; çift gönderim kilidi. Tipleri önce domain giriş/çıkışlarında sıkılaştır.";"Geç yanıt ekranı bozmaz; aynı tıklama iki belge yaratmaz; klavye ve hata odağı testleri.";"Açık";"";""
"S18";"P2";"S.";"Performans ve liste erişim sınırları büyüyen veriye göre eksik";"server/routes/items.js:17–36 | sales.js:95 | production.js:16 | crm.js:58 | frontend-react/CountsView.jsx:34";"Toplu alt kayıt sorguları, liste/detay DTO ayrımı, gerçek server pagination; kritik sorgulara EXPLAIN ve temsili veri yükü; ihtiyaca göre worker/async rapor.";"En az beklenen müşteri veri hacminde p95/RAM/DB büyüklüğü ölçümü; bütün eski kayıtlara erişim. Eski düşük hacimli load testi fabrikadaki çok yıllı kullanımı kanıtlamaz.";"Açık";"";""
"S19";"P2";"S.";"Sürüm dağıtımı ve PWA önbelleği kod sürümüne bağlı değil";"scripts/build-frontend.js:52 | public/js/app.js:26 | public/sw.js:17";"İçerik hash'li varlıklar/manifest veya sürüm parametresi, uygulama sürümü bildirimi, güncelleme akışı; sadece kendi cache önekini temizle.";"Açık sekme/PWA eski sürümden yeni sürüme kontrollü geçer; bekleyen offline kuyruk kaybolmaz; eski endpoint sözleşmesiyle sessiz işlem yok.";"Açık";"";""
"S20";"P2";"S+K.";"Dokümantasyon ve işletim güvenceleri gerçeği fazla geniş anlatıyor";"README.md:3–25 | PROJECT_STATUS.md | server/index.js:167 | package.json";"Tek güncel kurulum kaynağı, demo/müşteri yolları, açık sürüm kabul listesi; otomatik paket üretimi ve artifact manifesti. Kullanıcı/oturum temelli uygun rate limit, giriş için IP korumasını koruma; ölçülen eşikler. Yedek, disk doluluğu, webhook retry ve scheduler hataları için kalıcı durum/uyarı.";"Temiz Windows makinede yeni yazılımcı rehberle kurar; beklenen eşzamanlı kullanıcıda 429 baskısı yok; yükseltme/geri dönüş ve destek paketi anlaşılır.";"Açık";"";""
